Name,Age,Nationality,Division,Position,G,PA,AB,R,H,Singles,Doubles,Triples,HR,XBH,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SF,IBB
Robinson Cano,36.0,DR,NL East,2B,107,423,390,46,100,59,28,0,13,41,39,0,0,25,69,0.256,0.307,0.428,0.736,94,167,16,5,3,3
Brian Dozier,32.0,USA,NL East,2B,135,482,416,54,99,59,20,0,20,40,50,3,4,61,105,0.238,0.340,0.430,0.771,99,179,11,4,1,2
Anthony Santander,24.0,VEN,AL East,OF,93,405,380,46,99,58,20,1,20,41,59,1,2,19,86,0.261,0.297,0.476,0.773,102,181,1,2,3,0
Tommy Edman,24.0,USA,NL Central,UTIL,92,349,326,59,99,64,17,7,11,35,36,15,1,16,61,0.304,0.350,0.500,0.850,123,163,3,7,0,0
Eric Thames,32.0,USA,NL Central,OF,149,459,396,67,98,48,23,2,25,50,61,3,2,51,140,0.247,0.346,0.505,0.851,117,200,0,10,2,4
Willson Contreras,27.0,VEN,NL Central,C,105,409,360,57,98,54,18,2,24,44,64,1,2,38,102,0.272,0.355,0.533,0.888,128,192,4,9,2,2
Enrique Hernandez,27.0,PR,NL West,UTIL,130,460,414,57,98,61,19,1,17,37,64,4,0,36,97,0.237,0.304,0.411,0.715,87,170,9,6,4,3
Yordan Álvarez,22.0,CUB,AL West,DH,87,369,313,58,98,45,26,0,27,53,78,0,0,52,94,0.313,0.412,0.655,1.067,174,205,9,2,2,4
Brandon Dixon,27.0,USA,AL Central,UTIL,117,420,391,41,97,58,20,4,15,39,52,5,1,21,136,0.248,0.290,0.435,0.725,89,170,5,4,4,0
Teoscar Hernandez,26.0,DR,AL East,OF,125,464,417,58,96,49,19,2,26,47,65,6,3,45,153,0.230,0.306,0.472,0.778,105,197,8,1,1,1
Daniel Vogelbach,26.0,USA,AL West,DH,144,558,462,73,96,49,17,0,30,47,76,0,0,92,149,0.208,0.341,0.439,0.780,111,203,4,2,2,2
Chris Taylor,28.0,USA,NL West,UTIL,124,414,366,52,96,51,29,4,12,45,52,8,0,37,115,0.262,0.333,0.462,0.794,108,169,6,4,5,3
Nick Senzel,24.0,USA,NL Central,OF,104,414,375,55,96,60,20,4,12,36,42,14,5,30,101,0.256,0.315,0.427,0.742,85,160,6,3,1,0
Hunter Renfroe,27.0,USA,NL West,OF,140,494,440,64,95,42,19,1,33,53,64,5,0,46,154,0.216,0.289,0.489,0.778,103,215,6,2,6,1
Keston Hiura,22.0,USA,NL Central,2B,84,348,314,51,95,51,23,2,19,44,49,9,3,25,107,0.303,0.368,0.570,0.938,138,179,6,8,1,1
Miguel Sano,26.0,DR,AL Central,3B,105,439,380,76,94,39,19,2,34,55,79,0,1,55,159,0.247,0.346,0.576,0.923,140,219,5,3,1,0
Matt Carpenter,33.0,USA,NL Central,3B,129,492,416,59,94,57,20,2,15,37,46,6,1,63,129,0.226,0.334,0.392,0.726,93,163,3,7,5,0
Kyle Seager,31.0,USA,AL West,3B,106,443,393,55,94,51,19,1,23,43,63,2,2,44,86,0.239,0.321,0.468,0.789,111,184,12,4,2,0
Tony Wolters,27.0,USA,NL West,C,121,411,359,42,94,74,17,2,1,20,42,0,1,36,68,0.262,0.337,0.329,0.666,66,118,9,8,6,5
Manuel Margot,24.0,DR,NL West,OF,151,441,398,59,93,59,19,3,12,34,37,20,4,38,88,0.234,0.304,0.387,0.691,83,154,6,2,0,1
